id,channel,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,p_treat,p_ctrl,uplift,rank,recommended
Next_1615,Other,0,0.0,1,22,1,0.5634,0.3144,0.249,1,1
Next_5395,Other,0,0.0,6,28,1,0.4058,0.1633,0.2426,2,1
Next_2258,Other,0,0.0,2,17,1,0.4758,0.2472,0.2286,3,1
Next_4672,Other,1,63.99,1,29,1,0.6821,0.4562,0.2259,4,1
Next_1063,Other,0,0.0,2,16,1,0.4668,0.2424,0.2245,5,1
Next_3250,Other,1,67.49,3,21,1,0.533,0.3131,0.2199,6,1
Next_3954,Other,0,0.0,2,14,1,0.4489,0.2328,0.216,7,1
Next_5181,Other,0,0.0,4,17,1,0.3922,0.1797,0.2125,8,1
Next_2057,Other,1,72.49,1,22,1,0.6246,0.414,0.2106,9,1
Next_2783,Referral,0,0.0,0,22,1,0.4859,0.2772,0.2086,10,1
Next_709,Other,0,0.0,1,11,1,0.4643,0.2556,0.2086,11,1
Next_77,Referral,0,0.0,3,26,1,0.3956,0.1884,0.2072,12,1
Next_5739,Other,1,50.49,7,22,1,0.3747,0.1688,0.2059,13,1
Next_459,Other,0,0.0,4,15,1,0.3751,0.1721,0.203,14,1
Next_1191,Referral,0,0.0,3,25,1,0.387,0.1844,0.2026,15,1
Next_3746,Other,0,0.0,7,23,1,0.3246,0.1226,0.202,16,1
Next_1423,Other,2,161.97,5,26,1,0.5555,0.3555,0.2001,17,1
Next_938,Other,1,48.49,6,18,1,0.3809,0.1825,0.1983,18,1
Next_2265,Other,1,76.99,0,21,1,0.6554,0.4589,0.1965,19,1
Next_2441,Other,0,0.0,3,11,1,0.3812,0.1864,0.1948,20,1
Next_3931,Other,1,58.99,4,14,1,0.4278,0.2342,0.1936,21,1
Next_5274,Referral,3,65.99,4,27,1,0.5557,0.3637,0.192,22,1
Next_3797,Other,0,0.0,2,8,1,0.3959,0.2059,0.1901,23,1
Next_2963,Other,3,55.99,6,13,1,0.4649,0.2758,0.1891,24,1
Next_1278,Referral,4,58.99,5,27,1,0.5788,0.3907,0.1881,25,1
Next_1136,Other,0,0.0,5,14,1,0.328,0.1419,0.1861,26,1
Next_5841,Other,0,0.0,0,4,1,0.4438,0.2592,0.1846,27,1
Next_4980,Other,3,57.49,3,15,1,0.6091,0.4247,0.1844,28,1
Next_428,Other,0,0.0,4,11,1,0.3418,0.1576,0.1842,29,1
Next_468,Instagram,0,0.0,1,29,1,0.388,0.2046,0.1833,30,1
Next_2262,Other,1,55.49,5,13,1,0.3782,0.1949,0.1833,31,1
Next_4160,Other,2,68.98,3,10,1,0.4993,0.3218,0.1776,32,1
Next_3674,Referral,0,0.0,0,14,1,0.4143,0.2371,0.1772,33,1
Next_2081,Referral,3,75.49,4,23,1,0.5195,0.3429,0.1766,34,1
Next_154,Referral,0,0.0,2,17,1,0.3592,0.1833,0.176,35,1
Next_1494,Instagram,0,0.0,0,25,1,0.3941,0.2209,0.1732,36,1
Next_758,Other,2,70.99,0,20,1,0.705,0.5318,0.1732,37,1
Next_5974,Other,2,113.98,2,16,1,0.5937,0.4206,0.1731,38,1
Next_947,Other,0,0.0,6,14,1,0.2915,0.119,0.1725,39,1
Next_3089,Instagram,0,0.0,1,26,1,0.3625,0.1921,0.1704,40,1
Next_176,Other,4,83.49,7,11,1,0.4691,0.2987,0.1704,41,1
Next_5740,Referral,0,0.0,6,26,1,0.2818,0.1123,0.1695,42,1
Next_5944,Referral,0,0.0,0,12,1,0.3969,0.2277,0.1691,43,1
Next_3718,Instagram,0,0.0,0,24,1,0.3855,0.2164,0.1691,44,1
Next_1428,Referral,4,53.99,6,19,1,0.4646,0.2964,0.1682,45,1
Next_5462,Other,0,0.0,6,13,1,0.2841,0.1163,0.1679,46,1
Next_3812,Other,0,0.0,3,5,1,0.3314,0.1636,0.1678,47,1
Next_2098,Other,0,0.0,5,10,1,0.2969,0.1296,0.1673,48,1
Next_2154,Referral,0,0.0,0,11,1,0.3883,0.2232,0.1651,49,1
Next_1174,Referral,0,0.0,0,11,1,0.3883,0.2232,0.1651,50,1
Next_1119,Instagram,0,0.0,0,23,1,0.377,0.212,0.165,51,1
Next_992,Referral,1,59.99,2,16,1,0.4111,0.2485,0.1626,52,1
Next_4187,Instagram,0,0.0,2,26,1,0.3241,0.1626,0.1614,53,1
Next_1207,Instagram,0,0.0,4,31,1,0.29,0.1287,0.1612,54,1
